file,corner_index,x,y,real_x,real_y
0x400y.jpg,0,1064.4586181640625,1241.0228271484375,15.0,490.0
0x400y.jpg,1,1128.5150146484375,1241.4632568359375,30.0,490.0
0x400y.jpg,2,1192.5732421875,1241.93603515625,45.0,490.0
0x400y.jpg,3,1257.5264892578125,1242.4810791015625,60.0,490.0
0x400y.jpg,4,1321.3662109375,1242.6357421875,75.0,490.0
0x400y.jpg,5,1385.647216796875,1243.533447265625,90.0,490.0
0x400y.jpg,6,1449.5400390625,1243.491943359375,105.0,490.0
0x400y.jpg,7,1514.478271484375,1244.2359619140625,120.0,490.0
0x400y.jpg,8,1578.1156005859375,1243.5230712890625,135.0,490.0
0x400y.jpg,9,1057.3948974609375,1276.6856689453125,15.0,475.0
0x400y.jpg,10,1123.51904296875,1275.842529296875,30.0,475.0
0x400y.jpg,11,1189.52490234375,1277.0931396484375,45.0,475.0
0x400y.jpg,12,1255.464111328125,1276.4503173828125,60.0,475.0
0x400y.jpg,13,1321.6182861328125,1277.8165283203125,75.0,475.0
0x400y.jpg,14,1387.45947265625,1277.3302001953125,90.0,475.0
0x400y.jpg,15,1453.302734375,1278.6527099609375,105.0,475.0
0x400y.jpg,16,1518.8323974609375,1278.613525390625,120.0,475.0
0x400y.jpg,17,1584.58203125,1278.590576171875,135.0,475.0
0x400y.jpg,18,1050.4073486328125,1312.018798828125,15.0,460.0
0x400y.jpg,19,1117.9864501953125,1312.5980224609375,30.0,460.0
0x400y.jpg,20,1185.7152099609375,1312.8935546875,45.0,460.0
0x400y.jpg,21,1253.6356201171875,1314.608642578125,60.0,460.0
0x400y.jpg,22,1321.504638671875,1313.9930419921875,75.0,460.0
0x400y.jpg,23,1389.3135986328125,1315.01611328125,90.0,460.0
0x400y.jpg,24,1456.6546630859375,1315.432861328125,105.0,460.0
0x400y.jpg,25,1524.564208984375,1315.5374755859375,120.0,460.0
0x400y.jpg,26,1591.9927978515625,1315.98291015625,135.0,460.0
0x400y.jpg,27,1042.595703125,1351.559326171875,15.0,445.0
0x400y.jpg,28,1112.496826171875,1351.49462890625,30.0,445.0
0x400y.jpg,29,1182.52685546875,1352.44970703125,45.0,445.0
0x400y.jpg,30,1252.366455078125,1352.2747802734375,60.0,445.0
0x400y.jpg,31,1321.5262451171875,1353.457275390625,75.0,445.0
0x400y.jpg,32,1391.446044921875,1352.729736328125,90.0,445.0
0x400y.jpg,33,1460.628662109375,1353.966796875,105.0,445.0
0x400y.jpg,34,1529.8658447265625,1354.2723388671875,120.0,445.0
0x400y.jpg,35,1599.56201171875,1353.9920654296875,135.0,445.0
0x400y.jpg,36,1035.315185546875,1391.9658203125,15.0,430.0
0x400y.jpg,37,1106.947509765625,1392.4951171875,30.0,430.0
0x400y.jpg,38,1178.4686279296875,1393.0018310546875,45.0,430.0
0x400y.jpg,39,1250.029541015625,1394.005615234375,60.0,430.0
0x400y.jpg,40,1321.4964599609375,1393.4296875,75.0,430.0
0x400y.jpg,41,1393.4888916015625,1394.79736328125,90.0,430.0
0x400y.jpg,42,1464.6817626953125,1394.7799072265625,105.0,430.0
0x400y.jpg,43,1535.982666015625,1395.598388671875,120.0,430.0
0x400y.jpg,44,1607.5076904296875,1395.81396484375,135.0,430.0
0x400y.jpg,45,1033.0,1432.0,15.0,415.0
0x400y.jpg,46,1100.4998779296875,1436.6343994140625,30.0,415.0
0x400y.jpg,47,1174.496337890625,1437.279052734375,45.0,415.0
0x400y.jpg,48,1248.1663818359375,1437.497314453125,60.0,415.0
0x400y.jpg,49,1321.6588134765625,1437.740234375,75.0,415.0
0x400y.jpg,50,1395.5396728515625,1437.3836669921875,90.0,415.0
0x400y.jpg,51,1469.37109375,1438.6046142578125,105.0,415.0
0x400y.jpg,52,1542.548095703125,1438.7232666015625,120.0,415.0
0x400y.jpg,53,1616.36767578125,1438.6304931640625,135.0,415.0
0x800y.jpg,0,1180.0,710.0,15.0,890.0
0x800y.jpg,1,1213.65283203125,709.401611328125,30.0,890.0
0x800y.jpg,2,1252.5999755859375,709.6131591796875,45.0,890.0
0x800y.jpg,3,1291.26025390625,709.6303100585938,60.0,890.0
0x800y.jpg,4,1330.048583984375,709.59765625,75.0,890.0
0x800y.jpg,5,1368.7581787109375,710.4310913085938,90.0,890.0
0x800y.jpg,6,1407.5714111328125,710.4879150390625,105.0,890.0
0x800y.jpg,7,1446.42431640625,710.6890258789062,120.0,890.0
0x800y.jpg,8,1485.0701904296875,710.4360961914062,135.0,890.0
0x800y.jpg,9,1173.0693359375,721.396240234375,15.0,875.0
0x800y.jpg,10,1212.052490234375,720.6884765625,30.0,875.0
0x800y.jpg,11,1251.2283935546875,721.6474609375,45.0,875.0
0x800y.jpg,12,1290.5250244140625,721.5060424804688,60.0,875.0
0x800y.jpg,13,1329.8519287109375,722.5035400390625,75.0,875.0
0x800y.jpg,14,1369.5150146484375,721.6847534179688,90.0,875.0
0x800y.jpg,15,1408.5146484375,722.6155395507812,105.0,875.0
0x800y.jpg,16,1447.8961181640625,722.9153442382812,120.0,875.0
0x800y.jpg,17,1489.5,723.5,135.0,875.0
0x800y.jpg,18,1170.423828125,733.5048217773438,15.0,860.0
0x800y.jpg,19,1213.5,735.0,30.0,860.0
0x800y.jpg,20,1250.0003662109375,734.305419921875,45.0,860.0
0x800y.jpg,21,1289.994384765625,734.998046875,60.0,860.0
0x800y.jpg,22,1329.7027587890625,734.5341186523438,75.0,860.0
0x800y.jpg,23,1370.048583984375,735.4854736328125,90.0,860.0
0x800y.jpg,24,1409.6368408203125,735.6092529296875,105.0,860.0
0x800y.jpg,25,1449.56689453125,736.0433349609375,120.0,860.0
0x800y.jpg,26,1489.677978515625,736.6006469726562,135.0,860.0
0x800y.jpg,27,1167.7314453125,746.5205688476562,15.0,845.0
0x800y.jpg,28,1205.0,748.5,30.0,845.0
0x800y.jpg,29,1248.5347900390625,747.4881591796875,45.0,845.0
0x800y.jpg,30,1289.475341796875,747.4899291992188,60.0,845.0
0x800y.jpg,31,1329.92236328125,748.5128173828125,75.0,845.0
0x800y.jpg,32,1370.4693603515625,748.2865600585938,90.0,845.0
0x800y.jpg,33,1410.7572021484375,749.3027954101562,105.0,845.0
0x800y.jpg,34,1451.631591796875,748.9039916992188,120.0,845.0
0x800y.jpg,35,1492.276611328125,749.5301513671875,135.0,845.0
0x800y.jpg,36,1164.6865234375,760.5475463867188,15.0,830.0
0x800y.jpg,37,1205.8763427734375,760.5071411132812,30.0,830.0
0x800y.jpg,38,1247.4674072265625,761.0237426757812,45.0,830.0
0x800y.jpg,39,1288.4588623046875,762.0257568359375,60.0,830.0
0x800y.jpg,40,1329.6038818359375,761.5498657226562,75.0,830.0
0x800y.jpg,41,1371.2703857421875,762.816650390625,90.0,830.0
0x800y.jpg,42,1412.205322265625,763.0056762695312,105.0,830.0
0x800y.jpg,43,1453.5008544921875,763.543701171875,120.0,830.0
0x800y.jpg,44,1494.6578369140625,763.5156860351562,135.0,830.0
0x800y.jpg,45,1165.0,772.0,15.0,815.0
0x800y.jpg,46,1203.617919921875,775.5902709960938,30.0,815.0
0x800y.jpg,47,1245.8614501953125,775.6041259765625,45.0,815.0
0x800y.jpg,48,1287.6385498046875,776.2843627929688,60.0,815.0
0x800y.jpg,49,1329.6646728515625,776.416015625,75.0,815.0
0x800y.jpg,50,1371.5477294921875,776.473876953125,90.0,815.0
0x800y.jpg,51,1413.5643310546875,777.483642578125,105.0,815.0
0x800y.jpg,52,1455.5509033203125,777.5366821289062,120.0,815.0
0x800y.jpg,53,1497.466796875,777.5787963867188,135.0,815.0
0x900y.jpg,0,1192.0,637.0,15.0,990.0
0x900y.jpg,1,1224.561767578125,635.6448364257812,30.0,990.0
0x900y.jpg,2,1259.773193359375,636.2854614257812,45.0,990.0
0x900y.jpg,3,1294.89453125,636.53564453125,60.0,990.0
0x900y.jpg,4,1330.3841552734375,636.5663452148438,75.0,990.0
0x900y.jpg,5,1365.38916015625,636.7254638671875,90.0,990.0
0x900y.jpg,6,1400.568603515625,637.037353515625,105.0,990.0
0x900y.jpg,7,1435.5142822265625,637.5535888671875,120.0,990.0
0x900y.jpg,8,1471.159423828125,637.3978881835938,135.0,990.0
0x900y.jpg,9,1187.5963134765625,646.2814331054688,15.0,975.0
0x900y.jpg,10,1223.5545654296875,645.48291015625,30.0,975.0
0x900y.jpg,11,1258.9832763671875,646.5177001953125,45.0,975.0
0x900y.jpg,12,1292.0,647.0,60.0,975.0
0x900y.jpg,13,1330.23486328125,646.7537841796875,75.0,975.0
0x900y.jpg,14,1366.021484375,646.4434204101562,90.0,975.0
0x900y.jpg,15,1401.573974609375,647.4744873046875,105.0,975.0
0x900y.jpg,16,1437.124755859375,647.6196899414062,120.0,975.0
0x900y.jpg,17,1472.616455078125,647.415771484375,135.0,975.0
0x900y.jpg,18,1185.51904296875,656.527099609375,15.0,960.0
0x900y.jpg,19,1221.5958251953125,656.5515747070312,30.0,960.0
0x900y.jpg,20,1257.9385986328125,656.95751953125,45.0,960.0
0x900y.jpg,21,1294.219482421875,657.5360717773438,60.0,960.0
0x900y.jpg,22,1330.5054931640625,656.9774780273438,75.0,960.0
0x900y.jpg,23,1366.4698486328125,657.5386352539062,90.0,960.0
0x900y.jpg,24,1402.753173828125,657.8450317382812,105.0,960.0
0x900y.jpg,25,1438.4747314453125,658.1502685546875,120.0,960.0
0x900y.jpg,26,1474.844970703125,658.507080078125,135.0,960.0
0x900y.jpg,27,1183.6876220703125,667.4935913085938,15.0,945.0
0x900y.jpg,28,1220.5347900390625,667.443115234375,30.0,945.0
0x900y.jpg,29,1256.995849609375,667.9819946289062,45.0,945.0
0x900y.jpg,30,1293.68212890625,667.7811889648438,60.0,945.0
0x900y.jpg,31,1330.43603515625,668.5786743164062,75.0,945.0
0x900y.jpg,32,1367.5279541015625,668.0585327148438,90.0,945.0
0x900y.jpg,33,1403.6614990234375,669.2575073242188,105.0,945.0
0x900y.jpg,34,1440.59521484375,668.9806518554688,120.0,945.0
0x900y.jpg,35,1477.5499267578125,669.0074462890625,135.0,945.0
0x900y.jpg,36,1181.4173583984375,678.4976806640625,15.0,930.0
0x900y.jpg,37,1218.5186767578125,679.0337524414062,30.0,930.0
0x900y.jpg,38,1255.9490966796875,678.9346923828125,45.0,930.0
0x900y.jpg,39,1293.3187255859375,679.8099365234375,60.0,930.0
0x900y.jpg,40,1328.0,680.0,75.0,930.0
0x900y.jpg,41,1367.7540283203125,679.99560546875,90.0,930.0
0x900y.jpg,42,1404.995849609375,679.99951171875,105.0,930.0
0x900y.jpg,43,1442.4998779296875,680.6200561523438,120.0,930.0
0x900y.jpg,44,1479.666259765625,680.6246337890625,135.0,930.0
0x900y.jpg,45,1183.0,689.0,15.0,915.0
0x900y.jpg,46,1217.480224609375,690.9994506835938,30.0,915.0
0x900y.jpg,47,1255.0145263671875,691.5131225585938,45.0,915.0
0x900y.jpg,48,1292.757568359375,691.4943237304688,60.0,915.0
0x900y.jpg,49,1330.505615234375,691.5507202148438,75.0,915.0
0x900y.jpg,50,1368.441162109375,690.913818359375,90.0,915.0
0x900y.jpg,51,1406.3671875,691.6617431640625,105.0,915.0
0x900y.jpg,52,1444.0853271484375,692.1565551757812,120.0,915.0
0x900y.jpg,53,1482.0030517578125,691.9688720703125,135.0,915.0
108.3x500y.jpg,0,1497.2120361328125,1056.57470703125,123.3,590.0
108.3x500y.jpg,1,1552.5279541015625,1058.60595703125,138.3,590.0
108.3x500y.jpg,2,1607.9915771484375,1059.4552001953125,153.3,590.0
108.3x500y.jpg,3,1663.2821044921875,1060.22412109375,168.3,590.0
108.3x500y.jpg,4,1718.051025390625,1060.4156494140625,183.3,590.0
108.3x500y.jpg,5,1773.3829345703125,1061.1680908203125,198.3,590.0
108.3x500y.jpg,6,1828.9989013671875,1061.748779296875,213.3,590.0
108.3x500y.jpg,7,1884.4259033203125,1062.607177734375,228.3,590.0
108.3x500y.jpg,8,1939.9383544921875,1062.6453857421875,243.3,590.0
108.3x500y.jpg,9,1500.254150390625,1083.77099609375,123.3,575.0
108.3x500y.jpg,10,1556.1795654296875,1083.54931640625,138.3,575.0
108.3x500y.jpg,11,1613.34521484375,1085.799560546875,153.3,575.0
108.3x500y.jpg,12,1669.83935546875,1085.293212890625,168.3,575.0
108.3x500y.jpg,13,1726.4014892578125,1086.943603515625,183.3,575.0
108.3x500y.jpg,14,1782.8533935546875,1086.5672607421875,198.3,575.0
108.3x500y.jpg,15,1839.49365234375,1088.038330078125,213.3,575.0
108.3x500y.jpg,16,1895.9149169921875,1088.57666015625,228.3,575.0
108.3x500y.jpg,17,1952.658935546875,1088.6209716796875,243.3,575.0
108.3x500y.jpg,18,1502.94873046875,1109.982666015625,123.3,560.0
108.3x500y.jpg,19,1560.6422119140625,1110.939697265625,138.3,560.0
108.3x500y.jpg,20,1618.98681640625,1112.4627685546875,153.3,560.0
