Time,Seconds_Mid,LeftHeel_Dist,RightHeel_Dist,LeftToe_Dist,RightToe_Dist,noStep
11:26:08.AM,41168,2.51227793966687,2.5258372092752,2.47656713702695,2.48006764933077,1
11:26:08.AM,41168.033,2.42633677615023,2.43774056830752,2.41978478679784,2.41432682513005,1
11:26:08.AM,41168.066,2.38208285583528,2.39425035462161,2.3646746902308,2.34547210074634,1
11:26:08.AM,41168.099,2.33158777313962,2.35443745341862,2.31209586773975,2.31990814064523,1
11:26:08.AM,41168.132,2.26032116750481,2.28612224840884,2.24327825082079,2.25731985873146,1
11:26:08.AM,41168.165,2.22467543673235,2.24695222739846,2.20602759581246,2.21454560541094,1
11:26:08.AM,41168.198,2.20873755979717,2.22114347485158,2.21817035715907,2.21241739012004,1
11:26:08.AM,41168.231,2.23366765190611,2.24093664634372,2.22412565491795,2.21480318837925,1
11:26:09.AM,41169,2.25737607977542,2.27192193874462,2.24743801328587,2.245725351345,1
11:26:09.AM,41169.033,2.25710603994426,2.27040948911462,2.25089464283294,2.24539897339131,1
11:26:09.AM,41169.066,2.2581800794207,2.27324960062879,2.24711373337654,2.24168008940959,1
11:26:09.AM,41169.099,2.26847792957014,2.28341407718014,2.25512775794209,2.25247392669034,1
11:26:09.AM,41169.132,2.26201295470367,2.27971806417594,2.25975115072603,2.25812923455233,1
11:26:09.AM,41169.165,2.26750731667301,2.28418371666833,2.26089261225936,2.26027886438537,1
11:26:09.AM,41169.198,2.26969101099073,2.28706936838463,2.25343055513582,2.26202428016378,1
11:26:09.AM,41169.231,2.25559708974109,2.26962200013896,2.2501892889737,2.24794737711209,1
11:26:09.AM,41169.264,2.25993236412911,2.27278090662546,2.25234884967226,2.24419907673259,1
11:26:09.AM,41169.297,2.20859244666826,2.20487042470861,2.24787365964881,2.24004802191413,1
11:26:09.AM,41169.33,2.21846327665304,2.22413648033596,2.22539849638333,2.21555416754539,1
11:26:09.AM,41169.363,2.2215721506711,2.22626880874445,2.22355056805632,2.20794186131677,1
11:26:09.AM,41169.396,2.22048255125769,2.23290874199176,2.21964076153681,2.2148027100071,1
11:26:09.AM,41169.429,2.21840550356434,2.22682172548271,2.21370450076702,2.21324444494559,1
11:26:09.AM,41169.462,2.21209666767777,2.22308242303287,2.19765316659391,2.20436558137847,1
11:26:09.AM,41169.495,2.21845584514459,2.22356307300862,2.19914719295413,2.21003152444287,1
11:26:09.AM,41169.528,2.22083278564499,2.22179722075699,2.23525313998315,2.22513970805798,1
11:26:09.AM,41169.561,2.22152363377899,2.22704125784586,2.22984259317446,2.22232578968437,1
11:26:09.AM,41169.594,2.23547793002359,2.25684316201519,2.23004780546437,2.22397001743448,1
11:26:09.AM,41169.627,2.24800596289387,2.26942265168832,2.23638467157177,2.23455014443297,1
11:26:09.AM,41169.66,2.24773282458553,2.2680078719631,2.23168390995377,2.23452569155169,1
11:26:09.AM,41169.693,2.23741269525656,2.25884440048612,2.22151907038352,2.22213836829096,1
11:26:09.AM,41169.726,2.24347396205522,2.25949645305614,2.22597231079917,2.22283121437203,1
11:26:09.AM,41169.759,2.25463772658706,2.27004847903467,2.24233580583715,2.24188752613195,1
11:26:09.AM,41169.792,2.2553999246085,2.26894935756183,2.24078619984869,2.23799197118327,1
11:26:09.AM,41169.825,2.96607421019536,2.9577462380088,3.11111235208914,3.07475540709616,1
11:26:09.AM,41169.858,3.53895801776906,3.72713977707577,3.74276781929814,4.01993401044056,1
11:26:09.AM,41169.891,2.38373024497806,2.40135785674579,2.36782151713843,2.3674629853638,1
11:26:09.AM,41169.924,2.27475820687157,2.28261986525451,2.2590414882177,2.24318186434641,1
11:26:09.AM,41169.957,2.24949425633059,2.26056172571152,2.24963377684852,2.25911153132363,1
11:26:10.AM,41170,2.23327037159203,2.25030222296839,2.21925816510589,2.2237155449745,1
11:26:10.AM,41170.033,2.23846320901674,2.25066552233746,2.21708279911979,2.21337372535595,1
11:26:10.AM,41170.066,2.22569705687673,2.23558379554788,2.23964311339692,2.24213779844516,1
11:26:10.AM,41170.099,2.2223399673106,2.23806427381703,2.206827112748,2.22157335160266,1
11:26:10.AM,41170.132,2.23664961666022,2.25231727596492,2.22670871762959,2.24090650732539,1
11:26:10.AM,41170.165,2.25197710172427,2.262679812529,2.24747046921375,2.25224972495902,1
11:26:10.AM,41170.198,2.25800667295908,2.27278536738965,2.25690378465645,2.26018098110983,1
11:26:10.AM,41170.231,2.26392338224545,2.27592650715021,2.26247071315387,2.26495477717493,1
11:26:10.AM,41170.264,2.24034126069813,2.26129074845263,2.23186276601881,2.23016828920005,1
11:26:10.AM,41170.297,2.2409733486411,2.25978950630537,2.21983653227177,2.23535753753856,1
11:26:10.AM,41170.33,2.23446419780774,2.24173893748049,2.22311728280595,2.23974463471644,1
11:26:10.AM,41170.363,2.23385204997056,2.24644195373174,2.23765306495626,2.28423612005102,1
11:26:10.AM,41170.396,2.21877207393481,2.23639024636834,2.22018446746107,2.24056407962857,1
11:26:10.AM,41170.429,2.21267367939625,2.22646730711292,2.20398372610587,2.20212326592524,1
11:26:10.AM,41170.462,2.21549266939215,2.22890184493637,2.2057138458961,2.21530699262831,1
11:26:10.AM,41170.495,2.2202643831087,2.23393990047901,2.20935556818554,2.22157791515067,1
11:26:10.AM,41170.528,2.23069789557442,2.24265549001842,2.21012477372958,2.2261382562781,1
11:26:10.AM,41170.561,2.23010961564594,2.24080831631607,2.2119923212054,2.22356066820263,1
11:26:10.AM,41170.594,2.22318267694956,2.23181297438505,2.2134516331364,2.2175475397193,1
