Time,Seconds_Mid,LeftHeel_Dist,RightHeel_Dist,LeftToe_Dist,RightToe_Dist,noStep,
11:41:39.AM,42099,2.26686442764454,2.28718410913116,2.24970415247692,2.24497397530207,1,
11:41:39.AM,42099.033,2.13522215245733,2.14853339518737,2.13727219667461,2.1428093225389,1,
11:41:39.AM,42099.066,2.07198075105882,2.08168388693669,2.05640758144738,2.05104963160581,1,
11:41:39.AM,42099.099,1.97979653246429,2.00016807336511,1.97316091777337,1.98522680484206,1,
11:41:39.AM,42099.132,1.92804713030933,1.94277225879928,1.92828125811372,1.92850488679883,1,
11:41:39.AM,42099.165,1.91439957503103,1.94602206497614,1.91369621014043,1.92444132551153,1,
11:41:39.AM,42099.198,1.92480416705752,1.95661151409404,1.93595062421855,1.94843774742393,1,
11:41:39.AM,42099.231,1.90499593921813,1.93427645408259,1.9203088570412,1.92212144870758,1,
11:41:39.AM,42099.264,1.8899559867911,1.91884367909657,1.89322834639257,1.90393807532132,1,
11:41:39.AM,42099.297,1.90487699166046,1.93731488207324,1.91303685287085,1.92243442203842,1,
11:41:39.AM,42099.33,1.90928547123389,1.93976269820005,1.92676922421203,1.93412259093625,1,
11:41:39.AM,42099.363,1.91205161501544,1.94781125398903,1.91913561041893,1.92634614788917,1,
11:41:39.AM,42099.396,1.89294443833104,1.92555015605314,1.90563779654457,1.91093581026217,1,
11:41:39.AM,42099.429,1.87674498565575,1.90608941765141,1.88619758111206,1.89471709887726,1,
11:41:39.AM,42099.462,1.88920000737786,1.916298351083,1.89839742593602,1.9009893235307,1,
11:41:39.AM,42099.495,1.89513718330417,1.91912494343861,1.89497142788528,1.89603974350962,1,
11:41:39.AM,42099.528,1.89989711014838,1.92552555481745,1.89674499537808,1.90301636760681,1,
11:41:39.AM,42099.561,1.89803306500281,1.92215272325674,1.89847708721288,1.9029345051672,1,
11:41:39.AM,42099.594,1.89991348732797,1.92472366008319,1.90159351156304,1.90403407102016,1,
11:41:39.AM,42099.627,1.88568699770594,1.91173160404396,1.89070518986599,1.89325241222554,1,
11:41:39.AM,42099.66,1.88398756656447,1.90290519991675,1.89133460091674,1.89403981665372,1,
11:41:39.AM,42099.693,1.87508568157785,1.90142136282453,1.88647592832145,1.89341331415707,1,
11:41:39.AM,42099.726,1.87604129495097,1.90481947771842,1.88827806901869,1.89403243761958,1,
11:41:39.AM,42099.759,1.87654005904062,1.90282666473694,1.88737778316231,1.89319088987734,1,
11:41:39.AM,42099.792,1.86766396519169,1.89796199501846,1.87966276082982,1.88739962629806,1,
11:41:40.AM,42100,1.88735903312117,1.92232692275822,1.89637560011684,1.90271414405769,1,
11:41:40.AM,42100.033,1.88672090242206,1.92041522067657,1.89188478284473,1.90267175569642,1,
11:41:40.AM,42100.066,1.89072223929562,1.92382390694144,1.89929342708096,1.90487425285013,1,
11:41:40.AM,42100.099,1.88021124211492,1.91833974984601,1.88603013482754,1.90256471589495,1,
11:41:40.AM,42100.132,1.87675669113927,1.91397137413043,1.88632313017182,1.90257350536483,1,
11:41:40.AM,42100.165,1.88755698387369,1.92138055473956,1.89337662928503,1.9046101773231,1,
11:41:40.AM,42100.198,1.88690292090108,1.919600686853,1.89341641979703,1.90412635794735,1,
11:41:40.AM,42100.231,1.88691915295287,1.91757569409306,1.89344145926055,1.90395586631003,1,
11:41:40.AM,42100.264,1.88984309736375,1.91718661429285,1.89604032686471,1.90248912863168,1,
11:41:40.AM,42100.297,1.89754284974137,1.92203891083675,1.91091891659931,1.91309862431218,1,
11:41:40.AM,42100.33,1.87790870368,1.90908161448797,1.89010722972169,1.90459394312111,1,
11:41:40.AM,42100.363,1.87286378478643,1.9051902279467,1.89044579188029,1.9033067328656,1,
11:41:40.AM,42100.396,1.85185230937355,1.8695960285175,1.86791379558094,1.87081708574776,1,
11:41:40.AM,42100.429,1.83772881603662,1.85889619465321,1.86383571013874,1.87148134361831,1,
11:41:40.AM,42100.462,1.84301853008207,1.86068030025042,1.8553646533971,1.86788556830694,1,
11:41:40.AM,42100.495,1.8439516325711,1.8621299562018,1.88642492943222,1.8951956782761,1,
11:41:40.AM,42100.528,1.85171311773602,1.8708069569783,1.88628218067367,1.89323902070501,1,
11:41:40.AM,42100.561,1.85877754747455,1.87968179650867,1.88620125085409,1.8918712099701,1,
11:41:40.AM,42100.594,1.85939590870395,1.88004582974302,1.88610429551241,1.89009096212351,1,
11:41:40.AM,42100.627,1.85950076446089,1.88116908051673,1.87994716830457,1.88917194398629,1,
11:41:40.AM,42100.66,1.86010274220559,1.88923349061395,1.87751986204353,1.88859898831318,1,
11:41:40.AM,42100.693,1.85942643554309,1.88883580590455,1.87641611934338,1.88242785207024,1,
11:41:40.AM,42100.726,1.85476748510884,1.87904529407934,1.86283717958738,1.8702962148438,1,
11:41:40.AM,42100.759,1.8647662268559,1.88540571262237,1.86347021199974,1.87093022700549,1,
11:41:40.AM,42100.792,1.8763255694756,1.90578421068759,1.88407454499556,1.89356743951154,1,
11:41:40.AM,42100.825,1.88898615860814,1.92039979945053,1.89048511512025,1.90190214177826,1,
11:41:40.AM,42100.858,1.88768168345777,1.91920889861338,1.8863772161794,1.89869272031104,1,
11:41:40.AM,42100.891,1.87973332868865,1.90088747918295,1.88302285970873,1.89042390304845,1,
11:41:40.AM,42100.924,1.87979870796507,1.90218349899333,1.88287678283069,1.89069007803816,1,
11:41:41.AM,42101,1.8726821768811,1.90196696043781,1.88413124770335,1.89525436993767,1,
11:41:41.AM,42101.033,1.87343076215189,1.90199195153086,1.88382249541359,1.8907185581519,1,
