Time,Seconds_Mid,LeftHeel_Dist,RightHeel_Dist,LeftToe_Dist,RightToe_Dist,noStep
11:49:35.AM,42575,4.14849208673874,3.99964547791406,4.33277867082956,4.11392824505485,0
11:49:35.AM,42575.033,4.14813938320337,4.04371100564581,4.34014712266636,4.13176176304566,0
11:49:35.AM,42575.066,4.13351612650167,4.122154870788,4.33733290178401,4.13421244558143,0
11:49:35.AM,42575.099,4.13359341865058,4.15391641832822,4.35865076880396,4.23588871384041,0
11:49:35.AM,42575.132,4.15654569244429,4.2151467385617,4.36528395895082,4.31701643756969,0
11:49:35.AM,42575.165,4.17170197006996,4.27537033420665,4.40526491839315,4.48042895951252,0
11:49:35.AM,42575.198,4.16520241984956,4.34044483984541,4.39909328889344,4.54603580046546,0
11:49:35.AM,42575.231,4.18746484851003,4.43007486316745,4.42338045829254,4.61618197654961,0
11:49:36.AM,42576,4.1844186272525,4.53032172128745,4.41780763068884,4.73466481014973,0
11:49:36.AM,42576.033,4.18761618532488,4.60638973331728,4.37463140098179,4.7715620476956,0
11:49:36.AM,42576.066,4.18971507089552,4.73055153399744,4.37571024915492,4.86355316116246,0
11:49:36.AM,42576.099,4.18590433261946,4.74828490321637,4.36870244798291,4.89168405160192,0
11:49:36.AM,42576.132,4.17385948254174,4.77784624416067,4.35747609587598,4.93145308173769,0
11:49:36.AM,42576.165,4.17579263950693,4.79425688027218,4.33840050318005,4.91833394166617,0
11:49:36.AM,42576.198,4.26062059014075,4.76244027627679,4.34614356604721,4.89695503353665,0
11:49:36.AM,42576.231,4.37699626225997,4.74728702551386,4.36069768632281,4.85469815607313,0
11:49:36.AM,42576.264,4.45616556848162,4.76434646920104,4.43522591636727,4.82741391690435,0
11:49:36.AM,42576.297,4.64752600335154,4.85287486411511,4.55003291163434,4.89159194875669,0
11:49:36.AM,42576.33,4.77829539006021,4.90420076607225,4.67006874797801,4.93645312132156,0
11:49:36.AM,42576.363,4.92749435451633,4.87584713038516,4.88784129450709,4.95821117815076,0
11:49:36.AM,42576.396,4.85864212202179,4.85189830849692,4.86123609331719,4.94272381940936,0
11:49:36.AM,42576.429,4.83730228354085,4.82555739750967,4.99645346680868,4.96695750980609,0
11:49:36.AM,42576.462,5.00979452171603,4.81554971089437,5.11925563873553,5.01407878298975,0
11:49:36.AM,42576.495,5.06060180418202,4.81988295162409,5.25785097933331,5.01622688435907,0
11:49:36.AM,42576.528,5.17007858944618,4.85099931315044,5.37881827000801,5.04469875622843,0
11:49:36.AM,42576.561,5.27160597443656,4.83181306375771,5.52726013277368,5.07870805187937,0
11:49:36.AM,42576.594,5.39905019171705,4.8458874700667,5.71835791455355,5.06973895725223,0
11:49:36.AM,42576.627,5.45877660612796,4.88553800522021,5.70911800579849,5.07767666033222,0
11:49:36.AM,42576.66,5.4644434544426,4.89872413863184,5.74251629860227,5.06967944467,0
11:49:36.AM,42576.693,5.50605461841637,4.94633541867578,5.73835109440288,5.07276397062048,0
11:49:36.AM,42576.726,5.50907378076253,5.02411820355248,5.71453491355719,5.0901986631466,0
11:49:36.AM,42576.759,5.53254320588389,5.10365714055949,5.71370496966655,5.07141078860435,0
11:49:36.AM,42576.792,5.57513381137952,5.21382885202761,5.73328243506516,5.17526977600939,0
11:49:36.AM,42576.825,5.58211851009065,5.31288748057114,5.70403105438431,5.26759022755867,0
11:49:36.AM,42576.858,5.55581400773607,5.40898502559266,5.73839890526969,5.40365930337997,0
11:49:36.AM,42576.891,5.60077803458021,5.53360054224841,5.76491580768691,5.4982906242037,0
11:49:36.AM,42576.924,5.57507476077614,5.62638093235871,5.81718083812406,5.63799645802545,0
11:49:36.AM,42576.957,5.59382536062454,5.71764837671012,5.80683753581929,5.76740591080381,0
11:49:37.AM,42577,5.61669903162434,5.72357373035741,5.83951147514785,5.83322024825094,0
11:49:37.AM,42577.033,5.62181352305822,5.75288805530108,5.87052982911521,5.98188993306606,0
11:49:37.AM,42577.066,5.61431256476023,5.81892290715255,5.86293618282324,6.00391115951639,0
11:49:37.AM,42577.099,5.71434287391637,5.77301795928372,5.88063163166733,5.92988495995803,0
11:49:37.AM,42577.132,6.02984256509499,5.81401519722112,6.03526595589254,5.77380456087602,0
11:49:37.AM,42577.165,5.98393721833136,5.74733886282202,6.05368514975223,5.73116272869083,0
11:49:37.AM,42577.198,6.05529424239888,5.80482238119144,6.09265777920408,5.73831967693957,0
11:49:37.AM,42577.231,5.91303133480503,5.89893426212519,5.99905009946202,5.92684653321299,0
11:49:37.AM,42577.264,5.85996859800157,5.87976387988895,5.95997251943702,5.94055906669382,0
11:49:37.AM,42577.297,5.9080866344578,5.94271436373329,5.99382587567173,6.00918595567063,0
11:49:37.AM,42577.33,5.97301518227739,6.16500861240933,5.96330169744357,6.13181586911706,0
11:49:37.AM,42577.363,6.14701358986215,6.15841956957784,6.04971301794331,6.10707347107168,0
11:49:37.AM,42577.396,6.3086710186393,6.25023698021925,6.15602123001233,6.17219094328497,0
11:49:37.AM,42577.429,6.3480468081671,6.31049577116261,6.22095827022692,6.30424170004743,0
11:49:37.AM,42577.462,6.40734602147082,6.37062208975151,6.31530561034687,6.40322755496319,0
11:49:37.AM,42577.495,6.49692337932412,6.38827928621341,6.40737351334911,6.42853036379311,0
11:49:37.AM,42577.528,6.49033220077875,6.35913189787871,6.515100953604,6.49401818851495,0
11:49:37.AM,42577.561,6.53322724209948,6.35336472285005,6.60037765764699,6.54824013519201,0
11:49:37.AM,42577.594,6.50815701847259,6.3506627062516,6.6597958955937,6.53179165386889,0
