Frame,Timestamp_ms,LeftHeel_Y,RightHeel_Y,LeftHeel_Distance,RightHeel_Distance
53,1749,1.046961308,1.032097459,3.716311601,3.781039841
54,1782,1.037032008,1.04621172,3.759356113,3.7195341
55,1815,1.02686429,1.04411006,3.804251512,3.72859259
56,1848,1.044638038,1.088289857,3.72631367,3.545166905
57,1881,1.096325636,1.138645291,3.513314468,3.352631663
58,1914,1.139983058,1.173919678,3.347737582,3.227141905
59,1947,1.059196353,1.12496984,3.664324694,3.403297384
60,1980,1.075261712,1.103747129,3.597768947,3.484288704
61,2013,1.077311993,1.087968469,3.589410679,3.546450132
62,2046,1.078820825,1.113718987,3.583278979,3.445867807
63,2079,1.507005692,1.486522198,2.321270131,2.365695302
64,2112,1.259394288,1.370524287,2.950956113,2.641328063
65,2145,1.210100412,1.227273226,3.10568648,3.050433864
66,2178,1.21007967,1.199184656,3.105754123,3.141592675
67,2211,1.539463758,1.529588342,2.253208671,2.273621726
68,2244,1.567721248,1.570040107,2.196169745,2.191576995
69,2277,1.561670184,1.554870963,2.2082165,2.22186064
70,2310,1.43857038,1.412056923,2.474453496,2.537636162
71,2343,1.578906298,1.550310373,2.174136617,2.231077154
72,2376,1.619550586,1.620899677,2.096547699,2.094036774
73,2409,1.533315301,1.548781276,2.265888102,2.234179033
74,2442,1.646278024,1.649450421,2.047543863,2.041829297
75,2475,1.672379375,1.674084425,2.001149856,1.998167885
76,2508,1.658081889,1.666892052,2.026388103,2.010786699
77,2541,1.652979493,1.651279807,2.035497155,2.038543601
78,2574,1.672397137,1.679138184,2.001118761,1.989363754
79,2607,1.660238981,1.672805548,2.022553435,2.000403968
80,2640,1.646117687,1.655590057,2.047833249,2.030829864
81,2673,1.648875713,1.648953199,2.042862965,2.042723559
82,2706,1.530250072,1.50719583,2.27224595,2.320863203
83,2739,1.605241537,1.594457507,2.123430537,2.143998666
84,2772,1.427074075,1.376989007,2.501572444,2.624793297
85,2805,1.56522882,1.566727042,2.201120908,2.198142894
86,2838,1.59043467,1.577924013,2.151740291,2.176059518
87,2871,1.602578998,1.596148968,2.128483885,2.140754839
88,2904,1.602361321,1.581920028,2.128897739,2.168251385
89,2937,1.606327891,1.602134943,2.121373345,2.129328253
90,2970,1.604870081,1.598526239,2.124134567,2.13620699
91,3003,1.57353282,1.554980516,2.184683958,2.221639885
92,3036,1.506052017,1.487725616,2.323312643,2.363052719
93,3069,1.505585074,1.477683425,2.324313617,2.38523135
94,3102,1.425741076,1.396214366,2.504744097,2.576490032
95,3135,1.469209194,1.44410193,2.40417414,2.461552993
96,3168,1.488873243,1.468399882,2.360536478,2.405994238
97,3201,1.443486452,1.426060557,2.462983687,2.503983425
98,3234,1.454608083,1.44488287,2.437310843,2.459739364
99,3267,1.428114295,1.406652808,2.499101363,2.55079523
100,3300,1.400016069,1.383384943,2.567089302,2.608580523
101,3333,1.346818566,1.341546059,2.703263122,2.717323841
102,3366,1.308753252,1.307944059,2.807213118,2.809485825
103,3399,1.272953749,1.264995933,2.91040535,2.934103058
104,3432,1.24758184,1.228732586,2.986969331,3.045806495
105,3465,1.230113864,1.211833835,3.041436377,3.10004142
106,3498,1.178747296,1.178978682,3.210524848,3.209731661
107,3531,1.156240582,1.160254598,3.289123697,3.274892825
108,3564,1.136456013,1.141228437,3.360664584,3.343191312
109,3597,1.130933166,1.139833808,3.381060625,3.348283055
110,3630,1.140245914,1.150432467,3.346777234,3.309882693
111,3663,1.136398315,1.145897508,3.360876686,3.326230632
112,3696,1.128651977,1.141067147,3.389540577,3.34377957
113,3729,1.121864557,1.130445004,3.414965812,3.382872548
114,3762,1.073140144,1.104127049,3.606449756,3.482812805
115,3795,1.008487463,1.074365497,3.887567985,3.601432016
116,3828,0.992816806,1.073922038,3.960919539,3.603246695
117,3861,0.986880124,1.071303129,3.989283304,3.613992634
118,3894,0.987516105,1.071666002,3.986229346,3.612500712
119,3927,0.984617114,1.062236667,4.00018043,3.651582667
120,3960,0.984036148,1.046417475,4.002985615,3.718649117
121,3993,0.982929528,1.038660288,4.008337578,3.752243876
122,4026,0.977561831,1.022913098,4.034459915,3.821926041
123,4059,0.974288464,0.995877147,4.05052351,3.946423054
124,4092,0.967576861,0.983081698,4.083780748,4.007600957
125,4125,0.966929913,0.980838597,4.087009539,4.018481137
126,4158,0.963142693,0.971121073,4.105992945,4.066164415
127,4191,0.96283114,0.960774362,4.107560881,4.117935984
128,4224,0.965583503,0.950242639,4.093742295,4.171725656
129,4257,0.966731012,0.941943288,4.088003032,4.214912798
130,4290,0.963319421,0.928010881,4.105103964,4.28904892
131,4323,0.962784946,0.918676853,4.107793438,4.339900908
132,4356,0.963532329,0.909606934,4.104033398,4.390254871
133,4389,0.959387898,0.888452113,4.124953485,4.51145594
134,4422,0.95589298,0.876977563,4.14272805,4.579493179
135,4455,0.956492603,0.865115941,4.139669757,4.651605498
136,4488,0.957770705,0.862474561,4.133163037,4.66791697
137,4521,0.958079576,0.852909684,4.131593056,4.727775923
138,4554,0.955140769,0.851826727,4.146569719,4.734632694
139,4587,0.955897987,0.856463969,4.142702498,4.705386117
140,4620,0.952239275,0.856981218,4.161441802,4.702142281
141,4653,0.920901418,0.85400033,4.327693319,4.720886945
142,4686,0.900754154,0.845614254,4.440323083,4.774285073
143,4719,0.87204051,0.846238732,4.609284098,4.770274555
144,4752,0.85956341,0.843712926,4.686003284,4.786530015
145,4785,0.845911324,0.839319706,4.772376543,4.815021944
146,4818,0.842590988,0.842653155,4.793779809,4.793377618
147,4851,0.834768713,0.841662228,4.844833142,4.799795007
148,4884,0.823170483,0.841655433,4.922201132,4.799839061
149,4917,0.808478475,0.840611637,5.023183879,4.806614266
150,4950,0.797048688,0.841085553,5.104147282,4.803536157
151,4983,0.786001205,0.841911852,5.184489241,4.798177071
152,5016,0.77461946,0.842607558,5.269494608,4.793672604
153,5049,0.764865935,0.843056321,5.34421286,4.790770701
154,5082,0.759656966,0.840690732,5.384848034,4.806100312
155,5115,0.761096299,0.83872205,5.373568056,4.818919598
156,5148,0.754561663,0.834575653,5.425101197,4.846104503
157,5181,0.748792291,0.826409876,5.471294106,4.900387729
158,5214,0.745251715,0.817831218,5.499970972,4.958507208
159,5247,0.746574938,0.805398285,5.489223962,5.044791285
160,5280,0.747897625,0.786167443,5.478516623,5.18326469
161,5313,0.745773017,0.766038358,5.495732808,5.3351377
162,5346,0.743754089,0.750459433,5.512177308,5.457878193
163,5379,0.73822093,0.746262729,5.557673808,5.491756483
164,5412,0.739346623,0.733683288,5.548366544,5.595459893
165,5445,0.738258779,0.73178941,5.557360444,5.611359285
166,5478,0.739753008,0.72446245,5.545013006,5.673596051
167,5511,0.740692675,0.721788943,5.537271836,5.69659701
168,5544,0.739181757,0.716431856,5.549728019,5.74316415
169,5577,0.738105178,0.709854782,5.558632345,5.801225958
170,5610,0.735274374,0.709732771,5.582161239,5.802312468
171,5643,0.734245181,0.68729049,5.590757357,6.008220901
172,5676,0.734716356,0.679277599,5.586819197,6.08478047
173,5709,0.732092083,0.676985323,5.60881318,6.106989644
174,5742,0.731044412,0.67511797,5.617634604,6.125184677
175,5775,0.722720206,0.676786542,5.68856718,6.108922117
176,5808,0.71561873,0.669475198,5.750288803,6.180734855
177,5841,0.692912996,0.676685452,5.955477201,6.109905269
178,5874,0.67978996,0.672404051,6.079835249,6.151794522
179,5907,0.675935745,0.663426638,6.117205062,6.241246166
180,5940,0.666425645,0.658051133,6.211116862,6.295883282
181,5973,0.654871166,0.659082294,6.328593224,6.285338887
182,6006,0.64938271,0.656423509,6.38574168,6.312589
183,6039,0.645026982,0.658397794,6.431731639,6.292335023
184,6072,0.643282712,0.657111824,6.450308949,6.305514939
185,6105,0.633690655,0.658511281,6.554145743,6.291174167
186,6138,0.630993009,0.658516109,6.583870226,6.29112479
187,6171,0.617179334,0.65721786,6.73980647,6.304426373
