x_meters,y_meters,u_pixel,v_pixel
0,4,945,1497
3.042,8.429,1915,764
3.042,9.549,1857,678
2.8,6.027,3032,1058
1.201,20,1568,298
2.801,21.12,1556,280
0,9,1141,702
0,8,1119,789
