Time,Seconds_Mid,LeftHeel_Dist,RightHeel_Dist,LeftToe_Dist,RightToe_Dist
11:45:55.AM,42355.0,5.4497191264166585,5.4739916502379735,5.354222244828697,5.361301432534361
11:45:55.AM,42355.033,5.239689789157815,5.284323373763035,5.1506592062577,5.178389283038291
11:45:56.AM,42356.0,5.224627147178407,5.241250626429742,5.078478613800943,5.103405029774768
11:45:56.AM,42356.033,5.274368766422169,5.614300917301459,5.091207839556732,5.433264341208643
11:45:56.AM,42356.066,5.217978449375016,5.809629267243672,5.029688305282738,5.436719226161758
11:45:56.AM,42356.099,5.200952178781781,5.633750873971681,5.01277716073418,5.261830820591637
11:45:56.AM,42356.132,5.16689065062331,5.282419288500358,5.024587852071825,5.025325313334006
11:45:56.AM,42356.165,5.160833040612845,5.02554170832,4.989753777504057,4.780676525252116
11:45:56.AM,42356.198,5.113437834461539,4.743785986121711,4.888830594189925,4.571708724056258
11:45:56.AM,42356.231,5.109853861337377,4.57354775983473,4.854178449892051,4.452817195736636
11:45:56.AM,42356.264,4.623068056804529,4.52511682091028,4.428366778607803,4.395899595547826
11:45:56.AM,42356.297,4.623366657174583,4.59836079610715,4.66835439057624,4.651765552820706
11:45:56.AM,42356.33,4.600738048829587,4.492966205812736,4.4552246455865765,4.412584455560481
11:45:56.AM,42356.363,4.62781953479331,4.5500087068909,4.4175397449283675,4.372410220433779
11:45:56.AM,42356.396,4.650039470717901,4.57395834416173,4.420408482135892,4.366720843397567
11:45:56.AM,42356.429,4.698148043486256,4.567999332057452,4.514792903123081,4.357046976270835
11:45:56.AM,42356.462,4.877963475522625,4.566914649505191,4.614141788973756,4.3516381549080885
11:45:56.AM,42356.495,4.90918686594183,4.574055042837862,4.644783232505843,4.3595118642176
11:45:56.AM,42356.528,4.9161652952615364,4.599719631393584,4.628243828938689,4.405706867600601
11:45:56.AM,42356.561,4.924963780053646,4.582308970982117,4.654393709376059,4.371338288359731
11:45:56.AM,42356.594,4.8504825041345905,4.557391203812151,4.573035700475948,4.3326938977758065
11:45:56.AM,42356.627,4.661357721968175,4.544204471960336,4.4252588009835465,4.317471875802315
11:45:56.AM,42356.66,4.50841030716714,4.500215009508785,4.29119665642331,4.296883043946232
11:45:56.AM,42356.693,4.349939700223591,4.475320921499669,4.1581070221468,4.28531571240232
11:45:57.AM,42357.0,4.2292745100904545,4.4827362941540185,4.0556196707457035,4.2832029429944765
11:45:57.AM,42357.033,4.123538454626074,4.515401244680486,4.003289179906663,4.292405110315928
11:45:57.AM,42357.066,4.197964134301338,4.502686818741948,4.074397947287738,4.2763627348847955
11:45:57.AM,42357.099,4.120565084372516,4.538655222623871,3.999740307436377,4.288120954395944
11:45:57.AM,42357.132,4.0856026785866355,4.532271223312396,3.9642008460478024,4.293003862641346
11:45:57.AM,42357.165,4.037472301342621,4.4844946997183275,3.824091219384119,4.254616046703367
11:45:57.AM,42357.198,4.029023426493426,4.493123993103194,3.8682250520654806,4.27956584073472
11:45:57.AM,42357.231,4.024418117408913,4.477772026924127,3.8851542189565658,4.266626767265709
11:45:57.AM,42357.264,4.009177714944208,4.511332574258901,3.8647844694226805,4.274640512593551
11:45:57.AM,42357.297,4.015838549611493,4.499350883856227,3.843042042989862,4.288573560699897
11:45:57.AM,42357.33,4.019474572367493,4.427153458309357,3.8444215324335858,4.1949841718897085
11:45:57.AM,42357.363,4.034282082099851,4.2413073391617555,3.897199582871851,4.05703289870651
11:45:57.AM,42357.396,4.008857882827827,4.208260769699889,3.81496924157464,4.014073046864493
11:45:57.AM,42357.429,4.002620866876091,4.193596351356163,3.788380172427215,4.0010325488384275
11:45:57.AM,42357.462,4.008713337818633,4.193391368273023,3.7784486142924134,3.983258176634193
11:45:57.AM,42357.495,4.005124209923377,4.059767031424207,3.832585536686249,3.8249499951542836
11:45:57.AM,42357.528,3.9973654041940243,3.9622641894263575,3.777983864940988,3.7322148710801057
11:45:57.AM,42357.561,3.962377290609588,3.8699522811112814,3.7112962518185943,3.648675266763944
11:45:57.AM,42357.594,3.935207680108795,3.693674740474318,3.657342952044636,3.578569768731258
11:45:57.AM,42357.627,3.7221901105323107,3.6055385121957384,3.592888628114183,3.5023786760893776
11:45:57.AM,42357.66,3.7122398241178978,3.5984533229994353,3.5784630769996966,3.4739547415933094
11:45:57.AM,42357.693,3.727855776013688,3.5901465463811064,3.5993228282177387,3.4587448359496147
11:45:57.AM,42357.726,3.6504426840135418,3.5425366893296895,3.541014331256603,3.4219144426101824
11:45:57.AM,42357.759,3.5951642466362124,3.5416806460110326,3.481148029145861,3.4236282164178258
11:45:57.AM,42357.792,3.5458655158170354,3.4894058932568237,3.4290188230983576,3.372563137767446
11:45:57.AM,42357.825,3.516041508660888,3.4575188186377845,3.408254184166542,3.3485644430006607
11:45:57.AM,42357.858,3.4455465426537,3.38454587092994,3.3390521712186647,3.278857036929171
11:45:57.AM,42357.891,3.360453996647408,3.3407494986025235,3.264992142945184,3.2495601741428306
11:45:57.AM,42357.924,3.37354437828812,3.2649929765566377,3.268833524897013,3.1781396422513595
11:45:57.AM,42357.957,3.3041678245346313,3.178081627867508,3.195807782587508,3.080411508612526
11:45:57.AM,42357.967,3.1583068238358694,3.1064884002486925,3.0504170828617747,3.015603425683321
11:45:58.AM,42358.0,3.0126359992574985,3.015753557057484,2.9338188054262866,2.932214701822863
11:45:58.AM,42358.033,2.9273019165897987,2.9247827820285286,2.84421864816632,2.8366710055660302
11:45:58.AM,42358.066,2.858465935161892,2.8660894682275915,2.7959776426426126,2.8030874678905624
